"OTU_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Phylum","Class","Order","Family","Genus","Species"
"3b646438a6860086acd6374f1e7471e3",2.45878438715068,-6.94348864393504,0.68868435558727,-10.082251161367,6.61919343229186e-24,1.3611468676222e-21,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__Porphyromonas_uenonis"
"f78fbf92350e6f3bd9a7a8b7700738c8",2.43568946350656,-6.91983741388988,0.68845465011987,-10.0512610564618,9.06992374183568e-24,1.70968062533603e-21,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_timonensis"
"7d1597a4b534ee6e21687ee9f3d57219",1.36177139744096,-4.89643839329795,0.496887511962527,-9.85421906450974,6.57256327959441e-23,1.14362601064943e-20,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalitalea","s__uncultured_organism"
"27e0f14965d584ff4710cb334f9770c0",2.48190380960071,-6.91983693075751,0.705651669375273,-9.80630703656348,1.0576871301901e-22,1.70892020606429e-20,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister","s__Dialister_propionicifaciens"
"f69c1da5f13e60f8fc1beeca4d53db9d",1.4426077468093,-5.13026297465944,0.523967570944809,-9.79118414792091,1.22848618597849e-22,1.85255716845556e-20,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Anaerococcus",NA
"991bafab1b4dfb8bc5cfea602bab42ce",1.39641789952106,-4.9551766848323,0.507815177476296,-9.7578349458915,1.70761672694959e-22,2.03296265071577e-20,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae",NA
"a6854d9a29dbf03d86aa19bd818bbf09",1.39641789952106,-4.9551766848323,0.507815177476296,-9.7578349458915,1.70761672694959e-22,2.03296265071577e-20,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Pyramidobacter","s__Rarimicrobium_hominis"
"ba42bb7f8fc2f7f40475859bb6f8f316",1.48879759409754,-5.28638173429928,0.541030463983581,-9.77095022593721,1.50038172070047e-22,2.03296265071577e-20,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"d090d4baaf2843ef2ba9f70df8fd5a46",1.50034505591961,-5.32290749736062,0.545327408873735,-9.76093886121371,1.65614840652831e-22,2.03296265071577e-20,"d__Bacteria","p__Campilobacterota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__Campylobacter_ureolyticus"
"aeb7d741af227b616be61e578b28395d",1.55808236502991,-5.49283192594161,0.566620268633261,-9.69402654654557,3.19671433010906e-22,3.61548390735334e-20,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_timonensis"
"ca35871b6fa76da171ce699c68ac784a",2.14700291795503,-6.58593724881509,0.683871124043746,-9.63037773823859,5.95103097638521e-22,6.41011050884921e-20,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"c01440493aa0d3c5dfd956ede3333908",1.33868059041075,-4.70142055426621,0.490940454017791,-9.57635598327742,1.00529352501163e-21,1.00993631629979e-19,"d__Bacteria","p__Campilobacterota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__Campylobacter_hominis"
"e29d011656322a6d84ebbbfdaa951d8d",1.6504620596064,-5.72889836976542,0.598646037332077,-9.56975911057024,1.07155046822259e-21,1.00993631629979e-19,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalitalea","s__uncultured_organism"
"f434a55bad6ab57bdb05dbe8d8688bae",1.6504620596064,-5.72889836976542,0.598646037332077,-9.56975911057024,1.07155046822259e-21,1.00993631629979e-19,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae",NA,NA
"46d2d747b228583a0a218726b0986cad",2.08926842850946,-6.52453673364639,0.685212762429069,-9.52191361777473,1.70018939999885e-21,1.53833136911896e-19,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__uncultured_organism"
"60eb804e82483fc36733ed53cc5a252b",1.32713312858869,-4.64483710742566,0.488313946186234,-9.51198945617295,1.87050483560163e-21,1.62733920697342e-19,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Moryella","s__Moryella_indoligenes"
"e09d6e4babc0ee2a9a5a8cd82b35fc61",1.75438921600495,-5.95517324590785,0.630221573842843,-9.44933257297992,3.4099801849052e-21,2.85680562157614e-19,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA
"35020e092a5eea12e710cf8f40fb48f3",1.76593667782701,-5.97825675497369,0.633412511228597,-9.43817283207429,3.79336274642738e-21,2.95882294221336e-19,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Peptoniphilus",NA
"7ae6f93ada6d5a827917a612f131f944",1.76593667782701,-5.97825675497369,0.633412511228597,-9.43817283207429,3.79336274642738e-21,2.95882294221336e-19,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA
"01e2f496d744fb6dff3161e69a803cdd",1.82367398693732,-6.08843918464255,0.647821499225779,-9.39832838508591,5.54367716101496e-21,4.17993257940528e-19,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Mogibacterium","s__Mogibacterium_sp."
"b59979ebeb187cbbfbfcddac7d996247",1.55799594442372,-5.39329619718362,0.574803323270645,-9.38285493287623,6.42100885367762e-21,4.68526517000605e-19,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__Bacteroidales_oral"
"62bb3e7141f2201343665466d47ea7d0",1.86984505876673,-6.19080043802927,0.660555173289031,-9.3721171044715,7.10919824895345e-21,5.02531451222897e-19,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__uncultured_organism"
